STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
NAGALAND,DIMAPUR,2001,36,4,13,4,89,55,114,48,7,10,464
NAGALAND,KIPHIRE,2001,1,0,0,0,0,2,5,0,0,0,18
NAGALAND,KOHIMA,2001,25,6,3,2,19,30,66,40,16,6,335
NAGALAND,MOKOKCHUNG,2001,12,1,1,1,5,14,12,1,3,5,93
NAGALAND,MON,2001,3,2,2,1,5,13,6,0,2,6,57
NAGALAND,PEREN,2001,0,0,0,0,1,9,4,0,1,0,28
NAGALAND,PHEK,2001,7,1,2,2,2,9,7,0,0,5,51
NAGALAND,TUENSANG,2001,1,0,0,1,2,7,5,0,2,0,41
NAGALAND,WOKHA,2001,12,1,2,0,3,11,28,0,1,5,93
NAGALAND,ZUNHEBOTO,2001,4,2,0,0,3,13,11,0,2,0,54
NAGALAND,TOTAL,2001,101,17,23,11,129,163,258,89,34,37,1234
NAGALAND,DIMAPUR,2002,32,3,19,9,91,58,128,52,3,27,467
NAGALAND,KIPHIRE,2002,1,1,1,0,1,2,3,0,0,0,11
NAGALAND,KOHIMA,2002,25,9,0,4,0,19,44,24,12,1,226
NAGALAND,MOKOKCHUNG,2002,11,0,1,1,5,8,7,2,0,2,64
NAGALAND,MON,2002,1,0,1,2,3,12,17,2,3,7,64
NAGALAND,PEREN,2002,4,0,0,0,0,2,5,0,1,1,31
NAGALAND,PHEK,2002,5,1,4,2,6,2,8,0,0,5,52
NAGALAND,TUENSANG,2002,6,1,1,0,4,6,2,0,0,0,45
NAGALAND,WOKHA,2002,6,1,0,3,0,11,36,0,0,10,99
NAGALAND,ZUNHEBOTO,2002,9,1,0,0,0,8,7,1,2,0,55
NAGALAND,TOTAL,2002,100,17,27,21,110,128,257,81,21,53,1114
NAGALAND,DIMAPUR,2003,15,2,12,2,54,20,74,17,1,19,238
NAGALAND,KIPHIRE,2003,1,1,1,1,0,2,2,0,0,0,16
NAGALAND,KOHIMA,2003,28,5,2,4,16,19,53,13,5,2,245
NAGALAND,MOKOKCHUNG,2003,8,1,10,3,3,7,9,3,1,9,103
NAGALAND,MON,2003,7,2,1,6,4,10,21,4,1,5,84
NAGALAND,PEREN,2003,4,1,4,0,2,3,5,0,0,1,27
NAGALAND,PHEK,2003,8,2,6,3,5,10,3,0,0,4,65
NAGALAND,TUENSANG,2003,9,0,0,0,3,9,11,0,1,0,56
NAGALAND,WOKHA,2003,5,0,2,0,3,3,40,0,2,6,85
NAGALAND,ZUNHEBOTO,2003,6,0,0,0,2,12,3,0,0,2,57
NAGALAND,TOTAL,2003,91,14,38,19,92,95,221,37,11,48,976
NAGALAND,DIMAPUR,2004,22,2,9,4,93,23,85,7,8,3,333
NAGALAND,KIPHIRE,2004,0,0,0,2,1,0,10,0,0,1,21
NAGALAND,KOHIMA,2004,12,10,9,3,14,16,36,11,8,8,202
NAGALAND,MOKOKCHUNG,2004,6,1,1,0,1,8,9,2,2,11,62
NAGALAND,MON,2004,6,0,2,3,4,2,33,2,6,10,96
NAGALAND,PEREN,2004,3,2,0,0,0,1,3,0,1,0,14
NAGALAND,PHEK,2004,6,1,0,0,0,5,4,0,2,6,44
NAGALAND,TUENSANG,2004,10,1,0,0,2,5,9,0,0,1,58
NAGALAND,WOKHA,2004,4,0,2,0,0,2,41,2,1,5,85
NAGALAND,ZUNHEBOTO,2004,1,1,0,2,2,8,25,2,0,7,69
NAGALAND,TOTAL,2004,70,18,23,14,117,70,255,26,28,52,984
NAGALAND,DIMAPUR,2005,23,7,5,5,55,35,117,73,12,7,350
NAGALAND,KIPHIRE,2005,0,0,0,0,0,2,2,0,0,0,19
NAGALAND,KOHIMA,2005,19,5,12,5,12,17,61,13,21,5,254
